match_id,home,away,actual_home_score,actual_away_score,market_p_home,market_p_draw,market_p_away,market_p_over_2_5,market_p_btts
EURO24_01,Germany,Scotland,5,1,0.7146,0.1598,0.1256,0.5039,0.3746
EURO24_02,Hungary,Switzerland,1,3,0.3254,0.2811,0.3935,0.4581,0.5085
EURO24_03,Germany,Hungary,2,0,0.6985,0.1653,0.1362,0.5149,0.3972
EURO24_04,Scotland,Switzerland,1,1,0.3114,0.2709,0.4177,0.4465,0.4964
EURO24_05,Switzerland,Germany,1,1,0.342,0.2937,0.3643,0.5807,0.6063
EURO24_06,Scotland,Hungary,0,1,0.4326,0.2647,0.3027,0.3719,0.4339
EURO24_07,Spain,Croatia,3,0,0.5894,0.2039,0.2067,0.6243,0.5619
EURO24_08,Italy,Albania,2,1,0.7568,0.1456,0.0975,0.3517,0.2488
EURO24_09,Croatia,Albania,2,2,0.7792,0.1383,0.0825,0.3746,0.2386
EURO24_10,Spain,Italy,1,0,0.629,0.1895,0.1814,0.6064,0.5194
EURO24_11,Albania,Spain,0,1,0.1093,0.1515,0.7391,0.442,0.3144
EURO24_12,Croatia,Italy,1,1,0.5026,0.2366,0.2608,0.5494,0.5532
EURO24_13,Slovenia,Denmark,1,1,0.2398,0.2235,0.5367,0.388,0.4175
EURO24_14,Serbia,England,0,1,0.3099,0.2697,0.4204,0.5874,0.6055
EURO24_15,Slovenia,Serbia,1,1,0.2518,0.231,0.5172,0.378,0.417
EURO24_16,Denmark,England,1,1,0.3216,0.2782,0.4002,0.5956,0.6149
EURO24_17,England,Slovenia,0,0,0.7952,0.1331,0.0717,0.4651,0.2623
EURO24_18,Denmark,Serbia,0,0,0.4772,0.2466,0.2762,0.5191,0.5393
EURO24_19,Poland,Netherlands,1,2,0.2575,0.2346,0.5079,0.4891,0.5058
EURO24_20,Austria,France,0,1,0.2899,0.2558,0.4542,0.6211,0.6237
EURO24_21,Poland,Austria,1,3,0.3083,0.2686,0.4231,0.4491,0.4976
EURO24_22,Netherlands,France,0,0,0.339,0.2914,0.3696,0.653,0.6619
EURO24_23,Netherlands,Austria,2,3,0.5406,0.222,0.2373,0.5695,0.5512
EURO24_24,France,Poland,1,1,0.7684,0.1418,0.0898,0.5465,0.3359
EURO24_25,Romania,Ukraine,3,0,0.3114,0.2709,0.4177,0.3686,0.4333
EURO24_26,Belgium,Slovakia,0,1,0.7437,0.15,0.1063,0.4613,0.3201
EURO24_27,Slovakia,Ukraine,1,2,0.3169,0.2748,0.4083,0.3733,0.4384
EURO24_28,Belgium,Romania,2,0,0.7489,0.1483,0.1028,0.4568,0.3121
EURO24_29,Slovakia,Romania,1,1,0.4664,0.2509,0.2827,0.2848,0.3544
EURO24_30,Ukraine,Belgium,0,0,0.3091,0.2692,0.4218,0.5377,0.567
EURO24_31,Turkey,Georgia,3,1,0.6335,0.1879,0.1785,0.2734,0.286
EURO24_32,Portugal,Czech Republic,2,1,0.7102,0.1613,0.1285,0.5228,0.3902
EURO24_33,Georgia,Czech Republic,1,1,0.2947,0.2591,0.4461,0.2815,0.3552
EURO24_34,Turkey,Portugal,0,3,0.2326,0.2191,0.5483,0.5155,0.5076
EURO24_35,Georgia,Portugal,2,0,0.1332,0.1637,0.7031,0.427,0.3399
EURO24_36,Czech Republic,Turkey,1,2,0.4731,0.2482,0.2786,0.3759,0.4287
EURO24_37,Switzerland,Italy,2,0,0.4556,0.2553,0.2891,0.5288,0.5528
EURO24_38,Germany,Denmark,2,0,0.576,0.2088,0.2152,0.5807,0.5394
EURO24_39,England,Slovakia,2,1,0.7736,0.1401,0.0863,0.4885,0.3002
EURO24_40,Spain,Georgia,4,1,0.8251,0.1235,0.0515,0.4485,0.2166
EURO24_41,France,Belgium,1,0,0.571,0.2106,0.2183,0.6569,0.5979
EURO24_42,Portugal,Slovenia,0,0,0.7874,0.1356,0.077,0.4562,0.2678
EURO24_43,Romania,Netherlands,0,3,0.2106,0.2061,0.5833,0.4517,0.4425
EURO24_44,Austria,Turkey,1,2,0.6211,0.1924,0.1865,0.453,0.4202
EURO24_45,Spain,Germany,2,1,0.5185,0.2305,0.251,0.6525,0.6237
EURO24_46,Portugal,France,0,0,0.3789,0.2874,0.3338,0.6707,0.6751
EURO24_47,England,Switzerland,1,1,0.6084,0.1969,0.1946,0.5956,0.5279
EURO24_48,Netherlands,Turkey,2,1,0.6873,0.1691,0.1436,0.4928,0.3943
EURO24_49,Spain,France,2,1,0.4231,0.2686,0.3083,0.686,0.6809
EURO24_50,Netherlands,England,1,2,0.3882,0.2833,0.3285,0.6309,0.6435
EURO24_51,Spain,England,2,1,0.4826,0.2445,0.2729,0.6655,0.6486
